year,ws,treatment,plot_type,plot,tree,azimuth,dis_pl_ctr_m,history,species,sp_cd,cr_dam,deg_lean,dbh_cm,tr_ht_m,comments
2022,77,Control,LL Conv.,40,2518,339,7,2,Loblolly Pine,131,1,0,42,26.5,DC=2; broken top
2022,77,Control,LL Conv.,40,2511,236,10.3,1,Loblolly Pine,131,0,10,42.2,31.5,
2022,77,Control,LL Conv.,32,1344,86,10.1,1,Loblolly Pine,131,0,0,42.7,26.5,
2022,77,Control,LL Conv.,32,1339,44,3,1,Loblolly Pine,131,0,0,46,25,
2022,77,Control,LL Conv.,32,1338,34,10.3,1,Loblolly Pine,131,0,0,48.4,26.6,
2022,77,Control,LL Conv.,40,2507,132,4.9,1,Loblolly Pine,131,0,10,50.4,29.1,
2022,77,Group,Hugo,220,1400,280,6.8,1,Sweetgum,611,0,0,8.3,8.3,
2022,77,Group,Hugo,220,2689,208,1.1,1,Loblolly Pine,131,0,0,8.5,8.1,
2022,77,Group,Hugo,220,319,257,7.5,1,Sweetgum,611,0,85,9.2,6.1,tallest part is branch near base of trunk
2022,77,Group,Hugo,220,2678,135,7.8,2,Loblolly Pine,131,2,0,9.6,9.5,bark missing @ dbh; DC=2
2022,77,Group,Hugo,220,2693,282,8.3,1,Loblolly Pine,131,0,0,10.2,13.5,
2022,77,Group,Hugo,220,2684,161,10.1,2,Loblolly Pine,131,2,0,12.8,10.5,bark missing @ dbh; broken top
2022,77,Group,Hugo,220,2665,40,6.6,1,Loblolly Pine,131,0,0,13.2,9,meas dbh + ht 2x; broken top
2022,77,Group,LL Conv.,160,2977,154,10.2,2,Other HWD,300,0,0,14.1,5.6,DC=2
2022,77,Group,Hugo,220,2669,79,9.9,1,Sweetgum,611,0,0,14.2,13.3,
2022,77,Group,LL Conv.,190,2736,175,8.3,1,Loblolly Pine,131,0,0,14.4,17.4,meas ht 3x
2022,77,Group,Hugo,220,2681,146,6.6,1,Up. Blackgum,693,0,0,14.4,16.6,
2022,77,Group,LL Conv.,160,2978,201,5,2,Loblolly Pine,131,0,0,15.4,7.3,broken top; bark missing @ dbh; DC=2
2022,77,Group,Hugo,150,2711,191,3.5,1,Loblolly Pine,131,0,0,15.5,13.5,
2022,77,Group,Hugo,150,2705,15,8.8,1,Loblolly Pine,131,0,0,16.5,18,
2022,77,Group,Hugo,220,2687,182,6.3,1,Loblolly Pine,131,0,0,16.5,21.6,meas dbh 2x
2022,77,Group,LL Conv.,160,2976,144,1.5,1,Loblolly Pine,131,0,0,17.3,18.6,
2022,77,Group,LL Conv.,190,2741,272,1.5,1,Loblolly Pine,131,0,0,20,19.8,
2022,77,Group,LL Conv.,190,2733,165,7.7,1,Loblolly Pine,131,0,0,21.3,17.9,meas ht 3x
2022,77,Group,Hugo,220,2692,254,8.1,1,Up. Blackgum,693,0,0,21.3,14.4,
2022,77,Group,LL Conv.,190,2743,261,10.4,1,Loblolly Pine,131,0,0,21.8,18,meas dbh 2x
2022,77,Group,LL Conv.,180,2823,213,1.5,2,Loblolly Pine,131,0,40,22.6,6.9,broken top; bark missing @ dbh; DC=2
2022,77,Group,Hugo,220,2674,116,6.1,1,Willow Oak,831,1,0,22.6,17.2,broken top
2022,77,Group,LL Conv.,190,2725,64,11,1,Loblolly Pine,131,0,0,22.7,22.1,
2022,77,Group,Hugo,150,2716,288,7.5,1,Sweetgum,611,0,0,24,15.3,
2022,77,Group,LL Conv.,180,2825,259,11.1,1,Blackgum,693,0,0,25.7,17.7,
2022,77,Group,Hugo,220,2682,157,6.7,1,Loblolly Pine,131,0,0,26.4,22,
2022,77,Group,Hugo,220,2670,97,0.6,1,Loblolly Pine,131,0,0,26.8,23.9,bad skidder damage
2022,77,Group,Hugo,150,2715,279,9.1,1,Willow Oak,831,0,0,27.8,20.8,
2022,77,Group,LL Conv.,160,2985,327,7.2,1,Blackgum,693,0,0,28.6,18.3,bark missing @ dbh
2022,77,Group,Hugo,220,2683,156,11.3,2,Willow Oak,831,2,0,30,13.5,decomposed @ dbh; broken top; DC=2
2022,77,Group,Hugo,220,2675,130,7.9,1,Loblolly Pine,131,0,0,31.3,25.5,
2022,77,Group,LL Conv.,190,2745,315,7.2,1,Up. Blackgum,693,0,0,31.9,19.9,
2022,77,Group,LL Conv.,190,2746,353,10.7,1,Loblolly Pine,131,0,0,31.9,23.7,
2022,77,Group,Hugo,220,2668,67,10.8,1,Loblolly Pine,131,0,0,32.2,27,
2022,77,Group,Hugo,220,2663,352,11.1,1,Loblolly Pine,131,0,0,33.7,24.7,
2022,77,Group,LL Conv.,190,2742,257,10.1,1,Loblolly Pine,131,0,0,37.6,28,meas dbh 2x
2022,77,Group,Hugo,220,2664,30,10.1,1,Loblolly Pine,131,0,0,37.6,25.2,
2022,77,Group,LL Conv.,160,2981,263,5.9,1,Loblolly Pine,131,0,10,38.1,29.9,meas ht 3x
2022,77,Group,Hugo,220,2690,221,10.7,1,Loblolly Pine,131,0,0,39.1,28.6,
2022,77,Group,Hugo,150,2710,180,1.7,1,Loblolly Pine,131,5,0,41.5,30.2,
2022,77,Group,LL Conv.,190,2732,156,11.3,1,Loblolly Pine,131,0,0,41.6,32.3,
2022,77,Group,Hugo,220,2666,43,6.8,1,Loblolly Pine,131,0,0,42.6,26,
2022,77,Group,Hugo,150,2713,213,11,1,Loblolly Pine,131,0,0,43,31.4,
2022,77,Group,LL Conv.,160,2979,230,8.5,1,Loblolly Pine,131,0,0,43.1,32.2,meas ht 2x
2022,77,Group,LL Conv.,180,2817,97,3.4,1,Loblolly Pine,131,0,5,43.2,28.9,
2022,77,Group,Hugo,150,2712,199,3.8,1,Loblolly Pine,131,0,0,48.3,28.4,
2022,77,Group,LL Conv.,180,2818,73,11.2,1,Loblolly Pine,131,0,0,48.5,31,
2022,77,Group,Hugo,220,2691,249,9.8,1,Willow Oak,831,0,0,51.8,28.9,
