year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments
1991,77,90,1,3,Loblolly Pine,131,12.2,7.6,
1991,77,90,2,1,Loblolly Pine,131,14.0,7.6,
1991,77,90,3,1,Loblolly Pine,131,12.2,7.9,
1991,77,90,4,1,Loblolly Pine,131,11.7,7.0,
1991,77,90,5,1,Loblolly Pine,131,11.2,6.7,
1991,77,90,6,1,Loblolly Pine,131,12.7,7.9,
1991,77,90,7,1,Loblolly Pine,131,10.7,7.0,
1991,77,90,8,3,Loblolly Pine,131,13.5,8.2,
1991,77,90,9,1,Loblolly Pine,131,14.2,7.9,
1991,77,90,10,1,Loblolly Pine,131,9.1,6.1,
1991,77,90,11,1,Loblolly Pine,131,15.7,7.9,
1991,77,90,13,1,Loblolly Pine,131,13.2,6.1,
1991,77,100,1,3,Loblolly Pine,131,15.2,13.7,
1991,77,100,3,1,Loblolly Pine,131,17.3,14.6,
1991,77,100,5,1,Loblolly Pine,131,13.7,14.0,
1991,77,100,6,2,Loblolly Pine,131,9.1,10.4,
1991,77,100,7,2,Loblolly Pine,131,35.3,12.8,
1991,77,100,8,1,Loblolly Pine,131,25.1,20.4,
1991,77,110,1,1,Loblolly Pine,131,16.0,17.4,
1991,77,110,3,1,Loblolly Pine,131,19.1,16.5,
1991,77,110,4,2,Loblolly Pine,131,10.2,11.3,
1991,77,110,6,2,Loblolly Pine,131,13.7,14.0,
1991,77,110,7,2,Loblolly Pine,131,19.1,20.1,
1991,77,110,8,2,Loblolly Pine,131,13.0,14.0,
1991,77,110,9,1,Loblolly Pine,131,9.1,11.3,
1991,77,110,10,1,Loblolly Pine,131,17.5,17.1,
1991,77,110,11,2,Loblolly Pine,131,14.0,11.6,
1991,77,110,12,1,Loblolly Pine,131,17.8,13.4,
1991,77,110,13,1,Loblolly Pine,131,7.6,10.1,
1991,77,110,14,1,Loblolly Pine,131,10.9,12.8,
1991,77,110,16,1,Loblolly Pine,131,16.5,17.1,
1991,77,110,17,1,Loblolly Pine,131,11.4,13.4,
1991,77,110,18,1,Loblolly Pine,131,20.8,19.8,
1991,77,110,19,2,Loblolly Pine,131,9.9,12.2,
1991,77,110,20,1,Loblolly Pine,131,19.8,20.1,
1991,77,110,21,1,Loblolly Pine,131,9.1,9.8,
1991,77,110,22,1,Loblolly Pine,131,13.2,18.6,
