ws,plot,horizon,h_top,h_bottom,interval_cm,C_per,N_per,treatm,s_type,BD,year,C_Mg_ha,N_Mg_ha
77,180,10_20,10,20,10,2.288103342,0.067212567,Group Selection,Wahee,1.191458085,2018,27.26179226,0.800809564
77,180,20_30,20,30,10,1.420901299,0.023104567,Group Selection,Wahee,1.296434193,2018,18.42105029,0.299535507
77,180,30_50,30,50,20,1.476603389,0.023545431,Group Selection,Wahee,1.38,2018,40.75425354,0.649853896
77,180,50_75,50,75,25,0.939513266,0,Group Selection,Wahee,1.38,2018,32.41320768,0
77,180,75_100,75,100,25,0.701904714,0,Group Selection,Wahee,1.38,2018,24.21571263,0
77,190,0_10,0,10,10,4.986053467,0.137290537,Group Selection,Wahee,0.840559066,2018,41.91072445,1.154008056
77,190,10_20,10,20,10,1.154430032,0,Group Selection,Wahee,1.380882182,2018,15.94131862,0
77,190,20_30,20,30,10,0.649059832,0,Group Selection,Wahee,1.515125663,2018,9.834072083,0
77,190,30_50,30,50,20,0.593344808,0,Group Selection,Wahee,1.38,2018,16.3763167,0
77,190,50_75,50,75,25,0.425719053,0,Group Selection,Wahee,1.38,2018,14.68730733,0
77,190,75_100,75,100,25,0.321451008,0,Group Selection,Wahee,1.38,2018,11.09005978,0
77,195,0_10,0,10,10,8.589326859,0.293269455,Thin,Wahee,0.841098145,2018,72.24466888,2.466683946
77,195,10_20,10,20,10,2.245845556,0.052544493,Thin,Wahee,1.245988008,2018,27.98296631,0.654698082
77,195,20_30,20,30,10,1.035193324,0.009731947,Thin,Wahee,1.302716806,2018,13.48563741,0.126779709
77,195,30_50,30,50,20,0.517179847,0,Thin,Wahee,1.38,2018,14.27416378,0
77,195,50_75,50,75,25,0.443335086,0,Thin,Wahee,1.38,2018,15.29506047,0
77,195,75_100,75,100,25,0.323664308,0,Thin,Wahee,1.38,2018,11.16641863,0
77,230,0_10,0,10,10,5.141321182,0.159742668,Regeneration,Wahee,0.915698398,2018,47.0789957,1.462761052
77,230,10_20,10,20,10,2.823622465,0.075909287,Regeneration,Wahee,1.089323331,2018,30.75837829,0.826897574
77,230,20_30,20,30,10,2.725768328,0.076131977,Regeneration,Wahee,1.141076543,2018,31.10310301,0.868724131
77,230,30_50,30,50,20,0.71105504,0.001013773,Regeneration,Wahee,1.38,2018,19.6251191,0.027980135
77,230,50_75,50,75,25,0.413111895,0,Regeneration,Wahee,1.38,2018,14.25236038,0
77,230,75_100,75,100,25,0.323624333,0,Regeneration,Wahee,1.38,2018,11.16503949,0
