,year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments,treatment,plot_type,azimuth,dis_pl_ctr_m,cr_dam,deg_lean,plotNum,BA,biomass
241,1991,77,120,5,2,Loblolly Pine,131,48.8,23.8,,,,,,,,77_120,1870.378602,1354.192619
256,1991,77,130,2,1,Loblolly Pine,131,30.5,22,,,,,,,,77_130,730.6166415,407.4372157
257,1991,77,130,3,1,Loblolly Pine,131,24.6,15.9,,,,,,,,77_130,475.2915526,230.9953201
258,1991,77,130,4,1,Loblolly Pine,131,13.5,13.7,,,,,,,,77_130,143.1388153,46.67690337
260,1991,77,130,6,1,Loblolly Pine,131,11.4,13.7,,,,,,,,77_130,102.0703453,29.78579448
261,1991,77,130,7,1,Loblolly Pine,131,24.9,16.8,,,,,,,,77_130,486.9547153,238.5420022
264,1991,77,130,10,1,Loblolly Pine,131,12.5,14,,,,,,,,77_130,122.718463,38.03458227
266,1991,77,130,12,1,Longleaf Pine,121,35.1,16.8,,,,,,,,77_130,967.6183913,587.7817476
267,1991,77,130,13,1,Longleaf Pine,121,42.9,28.7,,,,,,,,77_130,1445.454634,982.4591097
268,1991,77,130,14,1,Longleaf Pine,121,23.9,15.5,,,,,,,,77_130,448.6272849,213.9579563
269,1991,77,130,15,1,Longleaf Pine,121,33.8,28,,,,,,,,77_130,897.2702778,532.9058279
270,1991,77,130,16,1,Longleaf Pine,121,19.1,13.1,,,,,,,,77_130,286.521104,117.7853153
272,1991,77,130,18,1,Loblolly Pine,131,19.8,16.2,,,,,,,,77_130,307.907496,129.652591
273,1991,77,130,19,1,Loblolly Pine,131,24.4,15.9,,,,,,,,77_130,467.5946506,226.0461197
274,1991,77,140,1,2,Loblolly Pine,131,42.2,12.2,,,,,,,,77_140,1398.668465,942.4748866
281,1991,77,140,8,2,Loblolly Pine,131,6.6,8.8,,,,,,,,77_140,34.211944,7.205591407
282,1991,77,140,9,2,Loblolly Pine,131,10.7,14.6,,,,,,,,77_140,89.92023573,25.18786167
285,1991,77,140,12,1,Loblolly Pine,131,16.8,14.9,,,,,,,,77_140,221.6707776,83.63502112
286,1991,77,140,13,1,Loblolly Pine,131,8.9,14,,,,,,,,77_140,62.21138852,15.52382329
287,1991,77,140,14,1,Loblolly Pine,131,15,15.5,,,,,,,,77_140,176.7145868,61.80985807
289,1991,77,140,16,1,Loblolly Pine,131,7.4,8.8,,,,,,,,77_140,43.00840343,9.631115601
291,1991,77,140,18,2,Loblolly Pine,131,10.9,7.9,,,,,,,,77_140,93.31315579,26.45148251
294,1991,77,140,21,2,Loblolly Pine,131,10.7,9.5,,,,,,,,77_140,89.92023573,25.18786167
295,1991,77,140,22,1,Loblolly Pine,131,27.9,23.2,,,,,,,,77_140,611.3617844,322.2923883
296,1991,77,140,23,1,Loblolly Pine,131,25.4,23.5,,,,,,,,77_140,506.7074791,251.449588
297,1991,77,140,24,1,Loblolly Pine,131,22.6,23.8,,,,,,,,77_140,401.1499659,184.4068382
298,1991,77,140,25,1,Loblolly Pine,131,11.7,12.2,,,,,,,,77_140,107.5131546,31.90900225
299,1991,77,140,26,1,Loblolly Pine,131,8.6,10.4,,,,,,,,77_140,58.08804816,14.19656718
301,1991,77,140,28,1,Loblolly Pine,131,10.9,12.5,,,,,,,,77_140,93.31315579,26.45148251
303,1991,77,140,30,1,Loblolly Pine,131,55.9,32.3,,,,,,,,77_140,2454.220035,1878.831853
307,1991,77,150,1,1,Loblolly Pine,131,32.3,28.7,,,,,,,,77_150,819.3980499,473.429333
309,1991,77,150,3,1,Loblolly Pine,131,22.4,21.3,,,,,,,,77_150,394.0813825,180.0978077
310,1991,77,150,4,1,Loblolly Pine,131,19.3,20.4,,,,,,,,77_150,292.5529619,121.1039219
312,1991,77,150,6,1,Loblolly Pine,131,17.5,13.7,,,,,,,,77_150,240.5281875,93.2622558
313,1991,77,150,7,1,Loblolly Pine,131,35.8,25.9,,,,,,,,77_150,1006.597702,618.617856
314,1991,77,150,8,1,Loblolly Pine,131,15,9.5,,,,,,,,77_150,176.7145868,61.80985807
315,1991,77,150,9,2,Loblolly Pine,131,14.7,11.9,,,,,,,,77_150,169.7166891,58.56774473
316,1991,77,150,10,1,Loblolly Pine,131,18.8,16.8,,,,,,,,77_150,277.5911269,112.9143768
318,1991,77,150,12,1,Loblolly Pine,131,19.8,19.5,,,,,,,,77_150,307.907496,129.652591
320,1991,77,150,14,2,Loblolly Pine,131,12.7,10.7,,,,,,,,77_150,126.6768698,39.67391828
321,1991,77,150,15,1,Loblolly Pine,131,25.7,20.1,,,,,,,,77_150,518.7476329,259.3933606
336,1991,77,170,1,1,Loblolly Pine,131,7.6,7.3,,,,,,,,77_170,45.36459792,10.31239809
337,1991,77,170,2,1,Loblolly Pine,131,7.9,7.9,,,,,,,,77_170,49.01669938,11.39281941
338,1991,77,170,3,1,Loblolly Pine,131,10.2,8.5,,,,,,,,77_170,81.71282492,22.19973291
339,1991,77,170,4,1,Loblolly Pine,131,6.9,7.6,,,,,,,,77_170,37.39280656,8.060251608
342,1991,77,170,7,1,Loblolly Pine,131,6.6,6.4,,,,,,,,77_170,34.211944,7.205591407
343,1991,77,170,8,1,Loblolly Pine,131,8.4,8.2,,,,,,,,77_170,55.41769441,13.3541806
344,1991,77,170,9,1,Loblolly Pine,131,7.6,8.2,,,,,,,,77_170,45.36459792,10.31239809
345,1991,77,170,10,2,Loblolly Pine,131,10.7,7.9,,,,,,,,77_170,89.92023573,25.18786167
346,1991,77,170,11,1,Loblolly Pine,131,7.1,8.5,,,,,,,,77_170,39.59192142,8.666269168
347,1991,77,170,12,1,Loblolly Pine,131,7.1,6.7,,,,,,,,77_170,39.59192142,8.666269168
348,1991,77,170,13,1,Loblolly Pine,131,6.6,6.4,,,,,,,,77_170,34.211944,7.205591407
349,1991,77,170,14,1,Loblolly Pine,131,7.6,7.6,,,,,,,,77_170,45.36459792,10.31239809
351,1991,77,170,16,2,Loblolly Pine,131,9.7,7.9,,,,,,,,77_170,73.89811319,19.44948202
352,1991,77,170,17,1,Loblolly Pine,131,6.9,7.6,,,,,,,,77_170,37.39280656,8.060251608
353,1991,77,170,18,1,Loblolly Pine,131,6.6,7.3,,,,,,,,77_170,34.211944,7.205591407
355,1991,77,170,20,1,Loblolly Pine,131,8.6,8.5,,,,,,,,77_170,58.08804816,14.19656718
356,1991,77,170,21,1,Loblolly Pine,131,9.7,8.8,,,,,,,,77_170,73.89811319,19.44948202
397,1991,77,210,2,2,Loblolly Pine,131,36.6,17.7,,,,,,,,77_210,1052.087964,654.9659311
398,1991,77,210,3,2,Loblolly Pine,131,20.8,16.5,,,,,,,,77_210,339.7946614,147.8487245
399,1991,77,210,4,2,Loblolly Pine,131,39.6,10.7,,,,,,,,77_210,1231.629984,801.803204
400,1991,77,210,5,2,Loblolly Pine,131,27.9,6.1,,,,,,,,77_210,611.3617844,322.2923883
402,1991,77,210,7,1,Loblolly Pine,131,30,12.8,,,,,,,,77_210,706.8583471,390.1366463
403,1991,77,210,8,2,Loblolly Pine,131,13.2,18.6,,,,,,,,77_210,136.847776,43.96622885
406,1991,77,220,3,2,Loblolly Pine,131,35.8,6.4,,,,,,,,77_220,1006.597702,618.617856
407,1991,77,220,4,2,Loblolly Pine,131,54.1,9.5,,,,,,,,77_220,2298.711199,1738.370008
409,1991,77,220,6,2,Loblolly Pine,131,39.1,12.5,,,,,,,,77_220,1200.724566,776.1758626
434,1991,77,240,6,1,Loblolly Pine,131,15.8,7.9,,,,,,,,77_240,196.0667975,71.0002703
436,1991,77,240,8,1,Loblolly Pine,131,18.8,9.5,,,,,,,,77_240,277.5911269,112.9143768
438,1991,77,240,10,1,Loblolly Pine,131,15.8,7.9,,,,,,,,77_240,196.0667975,71.0002703
441,1991,77,240,13,1,Loblolly Pine,131,19.3,7.3,,,,,,,,77_240,292.5529619,121.1039219
442,2013,77,10,2828,1,Loblolly Pine,131,32,21.6,,,,,,,,77_10,804.2477193,462.0249553
443,2013,77,10,2829,1,Loblolly Pine,131,19.7,19.4,,,,,,,,77_10,304.8051732,127.9138666
444,2013,77,10,2830,1,Loblolly Pine,131,39.4,27.4,,,,,,,,77_10,1219.220693,791.496932
447,2013,77,10,2833,1,Loblolly Pine,131,24.9,20.1,,,,,,,,77_10,486.9547153,238.5420022
448,2013,77,10,2834,1,Loblolly Pine,131,21.8,22.4,,,,,,,,77_10,373.2526232,167.5442861
451,2013,77,10,2837,1,Loblolly Pine,131,14.6,19.2,,,,,,,,77_10,167.4154725,57.51138195
452,2013,77,10,2838,1,Loblolly Pine,131,16.7,20.8,,,,,,,,77_10,219.0396938,82.31292372
453,2013,77,10,2839,1,Loblolly Pine,131,23.6,22,,,,,,,,77_10,437.4353611,206.8990527
454,2013,77,10,2840,1,Loblolly Pine,131,23.1,22.1,,,,,,,,77_10,419.096314,195.4545975
455,2013,77,10,2841,1,Loblolly Pine,131,29.4,22.2,,,,,,,,77_10,678.8667565,369.9617542
456,2013,77,10,2842,1,Loblolly Pine,131,9.4,10.9,,,,,,,,77_10,69.39778172,17.91018903
457,2013,77,10,2843,1,Loblolly Pine,131,22,18.9,,,,,,,,77_10,380.1327111,171.6668307
458,2013,77,10,2844,1,Loblolly Pine,131,20.7,20.4,,,,,,,,77_10,336.535259,145.962305
459,2013,77,10,2845,1,Loblolly Pine,131,14.4,13.6,,,,,,,,77_10,162.8601632,55.43484878
460,2013,77,10,2846,1,Loblolly Pine,131,43,26.1,,,,,,,,77_10,1452.201204,988.2437558
461,2013,77,10,2847,1,Loblolly Pine,131,14.7,14,,,,,,,,77_10,169.7166891,58.56774473
462,2013,77,10,2848,1,Loblolly Pine,131,38.8,22.8,,,,,,,,77_10,1182.369811,761.0209003
463,2013,77,10,2849,1,Loblolly Pine,131,54.2,29.2,,,,,,,,77_10,2307.217061,1746.046035
464,2013,77,20,2486,1,Loblolly Pine,131,27.5,19.2,,,,,,,,77_20,593.9573611,310.2412948
465,2013,77,20,2487,1,Loblolly Pine,131,42.2,24.6,,,,,,,,77_20,1398.668465,942.4748866
466,2013,77,20,2488,1,Loblolly Pine,131,11.1,10.8,,,,,,,,77_20,96.76890771,27.7549171
467,2013,77,20,2489,1,Loblolly Pine,131,14.8,13.6,,,,,,,,77_20,172.0336137,59.63624292
468,2013,77,20,2490,1,Loblolly Pine,131,41,25.8,,,,,,,,77_20,1320.254313,876.0089935
469,2013,77,20,2491,1,Loblolly Pine,131,10,11.6,,,,,,,,77_20,78.53981634,21.07153199
470,2013,77,20,2492,1,Loblolly Pine,131,8.3,11.1,,,,,,,,77_20,54.10607948,12.94551912
