,year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments,treatment,plot_type,azimuth,dis_pl_ctr_m,cr_dam,deg_lean,plotNum,BA,biomass
2456,1991,80,160,10,1,Sweetgum,611,6.9,7.9,,,,,,,,80_160,37.39280656,13.15817074
2462,1991,80,160,16,1,Water Oak,827,7.1,5.8,,,,,,,,80_160,39.59192142,14.09495618
2463,1991,80,160,17,1,Red Maple,316,8.9,8.8,,,,,,,,80_160,62.21138852,24.40714312
2465,1991,80,160,19,1,Sweetgum,611,9.7,7,,,,,,,,80_160,73.89811319,30.1402798
2466,1991,80,160,20,1,Upland Blackgum,693,8.6,7.3,,,,,,,,80_160,58.08804816,22.44486495
2467,1991,80,160,21,1,Post Oak,835,10.2,4.3,,,,,,,,80_160,81.71282492,34.10349562
2469,1991,80,160,23,1,Sweetgum,611,7.9,4.9,,,,,,,,80_160,49.01669938,18.25118794
2476,1991,80,160,30,1,Water Oak,827,13,14.6,,,,,,,,80_160,132.7322896,62.0539509
2478,1991,80,170,2,1,Upland Blackgum,693,7.6,10.7,,,,,,,,80_170,45.36459792,16.61469621
2479,1991,80,170,3,1,Upland Blackgum,693,7.6,10.7,,,,,,,,80_170,45.36459792,16.61469621
2481,1991,80,170,5,1,Red Maple,316,17.3,6.4,,,,,,,,80_170,235.0618163,125.9293052
2482,1991,80,170,6,1,Upland Blackgum,693,12.5,3.1,,,,,,,,80_170,122.718463,56.31776819
2483,1991,80,170,7,1,Red Maple,316,11.2,13.1,,,,,,,,80_170,98.52034562,42.93999706
2484,1991,80,170,8,1,Red Maple,316,9.9,13.4,,,,,,,,80_170,76.97687399,31.68990108
2485,1991,80,170,9,1,Red Maple,316,17.3,18.6,,,,,,,,80_170,235.0618163,125.9293052
2486,1991,80,170,10,2,Post Oak,835,9.9,6.1,,,,,,,,80_170,76.97687399,31.68990108
2488,1991,80,170,12,1,Upland Blackgum,693,8.4,9.1,,,,,,,,80_170,55.41769441,21.19220532
2489,1991,80,170,13,1,Upland Blackgum,693,9.4,10.7,,,,,,,,80_170,69.39778172,27.90384438
2490,1991,80,170,14,1,Upland Blackgum,693,20.1,16.2,,,,,,,,80_170,317.308712,182.5889251
2491,1991,80,170,15,1,Upland Blackgum,693,11.2,11.6,,,,,,,,80_170,98.52034562,42.93999706
2492,1991,80,170,16,1,Sweetgum,611,8.1,9.1,,,,,,,,80_170,51.5299735,19.39523739
2493,1991,80,170,17,1,Red Maple,316,6.6,9.1,,,,,,,,80_170,34.211944,11.82742486
2494,1991,80,170,18,1,Upland Blackgum,693,10.7,7.9,,,,,,,,80_170,89.92023573,38.36773148
2495,1991,80,170,19,1,Upland Blackgum,693,6.9,8.2,,,,,,,,80_170,37.39280656,13.15817074
2497,1991,80,170,21,1,Upland Blackgum,693,9.1,16.2,,,,,,,,80_170,65.03882191,25.77158142
2499,1991,80,170,23,1,Upland Blackgum,693,14.5,14.3,,,,,,,,80_170,165.1299639,81.31315025
2500,1991,80,170,24,1,Red Maple,316,12.2,17.1,,,,,,,,80_170,116.8986626,53.03565507
2502,1991,80,170,26,1,Swamp White Oak,804,24.1,19.5,,,,,,,,80_170,456.1671073,285.9457317
2503,1991,80,180,1,1,Sweetgum,611,11.4,1.8,,,,,,,,80_180,102.0703453,44.85668306
2504,1991,80,180,2,1,Dogwood,491,18.5,4.9,,,,,,,,80_180,268.8025214,148.6888509
2505,1991,80,180,3,1,Dogwood,491,11.4,3.7,,,,,,,,80_180,102.0703453,44.85668306
2507,1991,80,180,5,1,Dogwood,491,7.9,3.1,,,,,,,,80_180,49.01669938,18.25118794
2509,1991,80,180,7,1,Dogwood,491,8.9,3.4,,,,,,,,80_180,62.21138852,24.40714312
2512,1991,80,180,10,1,Dogwood,491,6.6,27.4,,,,,,,,80_180,34.211944,11.82742486
2513,1991,80,180,11,1,Dogwood,491,6.9,5.8,,,,,,,,80_180,37.39280656,13.15817074
2514,1991,80,180,12,1,Dogwood,491,16.3,4.6,,,,,,,,80_180,208.672438,108.6568999
2516,1991,80,190,2,1,Red Maple,316,7.9,3.1,,,,,,,,80_190,49.01669938,18.25118794
2517,1991,80,190,3,1,Upland Blackgum,693,9.9,8.8,,,,,,,,80_190,76.97687399,31.68990108
2521,1991,80,190,7,1,Upland Blackgum,693,8.4,9.1,,,,,,,,80_190,55.41769441,21.19220532
2524,1991,80,190,10,1,Upland Blackgum,693,13,8.2,,,,,,,,80_190,132.7322896,62.0539509
2525,1991,80,190,11,1,Sweetgum,611,8.9,6.1,,,,,,,,80_190,62.21138852,24.40714312
2526,1991,80,190,12,1,Red Maple,316,7.6,4,,,,,,,,80_190,45.36459792,16.61469621
2528,1991,80,190,14,1,Upland Blackgum,693,8.9,7.9,,,,,,,,80_190,62.21138852,24.40714312
2529,1991,80,190,15,1,Upland Blackgum,693,9.1,6.7,,,,,,,,80_190,65.03882191,25.77158142
2530,1991,80,190,16,1,Post Oak,835,10.2,8.8,,,,,,,,80_190,81.71282492,34.10349562
2531,1991,80,190,17,1,Water Oak,827,10.4,3.4,,,,,,,,80_190,84.94866535,35.77267037
2532,1991,80,190,18,1,Red Maple,316,9.1,9.1,,,,,,,,80_190,65.03882191,25.77158142
2533,1991,80,190,19,1,Post Oak,835,10.2,4,,,,,,,,80_190,81.71282492,34.10349562
2535,1991,80,190,21,1,Upland Blackgum,693,9.4,8.8,,,,,,,,80_190,69.39778172,27.90384438
2536,1991,80,190,22,1,Upland Blackgum,693,21.6,11.3,,,,,,,,80_190,366.4353671,218.1730312
2538,1991,80,190,24,1,Upland Blackgum,693,6.9,5.2,,,,,,,,80_190,37.39280656,13.15817074
2540,1991,80,190,26,1,Red Maple,316,11.7,11.6,,,,,,,,80_190,107.5131546,47.82709988
2542,1991,80,190,28,1,Water Oak,827,11.4,8.8,,,,,,,,80_190,102.0703453,44.85668306
2543,1991,80,190,29,1,Upland Blackgum,693,9.4,6.1,,,,,,,,80_190,69.39778172,27.90384438
2544,1991,80,190,30,1,Red Maple,316,7.1,4.3,,,,,,,,80_190,39.59192142,14.09495618
2547,1991,80,200,1,1,Sweetgum,611,37.6,17.4,,,,,,,,80_200,1110.364507,848.6038024
2548,1991,80,200,2,1,Upland Blackgum,693,11.2,8.2,,,,,,,,80_200,98.52034562,42.93999706
2551,1991,80,200,5,2,Other Hardwood,999,23.4,8.5,,,,,,,,80_200,430.0526183,265.8829388
2552,1991,80,200,6,1,Sweetgum,611,23.1,7.9,,,,,,,,80_200,419.096314,257.5453041
2553,1991,80,200,7,1,Sweetgum,611,25.2,15.2,,,,,,,,80_200,498.7592497,319.211218
2555,1991,80,210,2,1,Red Maple,316,13.2,12.8,,,,,,,,80_210,136.847776,64.44267199
2556,1991,80,210,3,1,Water Oak,827,24.9,12.8,,,,,,,,80_210,486.9547153,309.9266442
2557,1991,80,210,4,1,Cherrybark Oak,813,11.9,11,,,,,,,,80_210,111.2202339,49.87158348
2558,1991,80,210,5,1,Upland Blackgum,693,8.9,9.5,,,,,,,,80_210,62.21138852,24.40714312
2560,1991,80,210,7,1,Water Oak,827,9.7,8.2,,,,,,,,80_210,73.89811319,30.1402798
2563,1991,80,210,10,2,Swamp White Oak,804,25.7,8.2,,,,,,,,80_210,518.7476329,335.0416261
2564,1991,80,210,11,1,Water Oak,827,14.5,8.8,,,,,,,,80_210,165.1299639,81.31315025
2567,1991,80,220,2,1,Southern Red Oak,812,21.1,4.3,,,,,,,,80_220,349.6671163,205.8957644
2568,1991,80,220,3,1,Swamp Blackgum,694,7.6,2.4,,,,,,,,80_220,45.36459792,16.61469621
2570,1991,80,220,5,1,Hickory,400,14.2,12.2,,,,,,,,80_220,158.3676857,77.21042501
2571,1991,80,220,6,1,Hickory,400,16.5,15.9,,,,,,,,80_220,213.82465,111.9902574
2572,1991,80,220,7,1,Hickory,400,7.4,5.5,,,,,,,,80_220,43.00840343,15.57597807
2574,1991,80,220,9,1,Hickory,400,11.2,4.9,,,,,,,,80_220,98.52034562,42.93999706
2576,1991,80,220,11,1,Sweetgum,611,6.6,3.7,,,,,,,,80_220,34.211944,11.82742486
2578,1991,80,220,13,1,Red Maple,316,7.4,10.7,,,,,,,,80_220,43.00840343,15.57597807
2579,1991,80,230,1,2,Swamp White Oak,804,37.9,17.7,,,,,,,,80_230,1128.153776,865.0336161
2580,1991,80,230,2,1,Red Maple,316,16,6.7,,,,,,,,80_230,201.0619298,103.7691129
2582,1991,80,230,4,1,Upland Blackgum,693,7.4,7.6,,,,,,,,80_230,43.00840343,15.57597807
2585,1991,80,240,1,1,Hickory,400,66,10.7,,,,,,,,80_240,3421.1944,3134.868336
2586,1991,80,240,2,1,Other Hardwood,999,11.2,10.4,,,,,,,,80_240,98.52034562,42.93999706
2587,1991,80,240,3,1,Hickory,400,39.4,12.8,,,,,,,,80_240,1219.220693,949.7851948
2588,1991,80,240,4,1,Willow Oak,831,36.6,7.6,,,,,,,,80_240,1052.087964,795.0904007
2589,1991,80,240,5,1,Dogwood,491,10.7,5.5,,,,,,,,80_240,89.92023573,38.36773148
2591,1991,80,240,7,2,Cherrybark Oak,813,28.2,7,,,,,,,,80_240,624.5800355,420.9600003
2592,1991,80,240,8,2,Cherrybark Oak,813,21.1,16.5,,,,,,,,80_240,349.6671163,205.8957644
2593,1991,80,240,9,2,Cherrybark Oak,813,80.3,16.2,,,,,,,,80_240,5064.318043,4742.075719
2594,1991,80,240,10,1,Sweetgum,611,11.4,6.7,,,,,,,,80_240,102.0703453,44.85668306
2595,1991,80,240,11,1,Sweetgum,611,10.9,7.3,,,,,,,,80_240,93.31315579,40.15928851
2597,1991,80,240,13,1,Sweetgum,611,16.8,7.9,,,,,,,,80_240,221.6707776,117.1033509
2601,1991,80,250,4,1,Water Oak,827,19.8,7.9,,,,,,,,80_250,307.907496,175.9175707
2603,1991,80,250,6,1,Dogwood,491,12.5,7,,,,,,,,80_250,122.718463,56.31776819
2604,1991,80,250,7,1,Sweetgum,611,8.1,6.4,,,,,,,,80_250,51.5299735,19.39523739
2606,1991,80,250,9,1,Water Oak,827,8.1,7.9,,,,,,,,80_250,51.5299735,19.39523739
2610,1991,80,260,3,1,Upland Blackgum,693,10.7,6.4,,,,,,,,80_260,89.92023573,38.36773148
2612,1991,80,260,5,1,Red Maple,316,8.6,6.1,,,,,,,,80_260,58.08804816,22.44486495
2613,1991,80,260,6,1,Upland Blackgum,693,35.8,6.4,,,,,,,,80_260,1006.597702,753.6661074
2614,1991,80,260,7,1,Swamp White Oak,804,23.6,6.7,,,,,,,,80_260,437.4353611,271.528046
2615,1991,80,260,8,1,Water Oak,827,6.9,7.3,,,,,,,,80_260,37.39280656,13.15817074
2616,1991,80,260,9,1,Upland Blackgum,693,16.8,7.3,,,,,,,,80_260,221.6707776,117.1033509
2619,1991,80,270,2,1,Willow Oak,831,19.6,10.4,,,,,,,,80_270,301.7185585,171.5514154
2620,1991,80,270,3,1,Red Maple,316,8.6,9.5,,,,,,,,80_270,58.08804816,22.44486495
2622,1991,80,270,5,1,Sweetgum,611,9.9,6.4,,,,,,,,80_270,76.97687399,31.68990108
2624,1991,80,270,7,1,Sweetgum,611,8.6,6.4,,,,,,,,80_270,58.08804816,22.44486495
2627,1991,80,280,1,1,Red Maple,316,11.7,10.4,,,,,,,,80_280,107.5131546,47.82709988
2628,1991,80,280,2,1,Hickory,400,31.8,11.6,,,,,,,,80_280,794.2260388,564.9406069
2629,1991,80,280,3,1,Other Hardwood,999,9.7,6.4,,,,,,,,80_280,73.89811319,30.1402798
2630,1991,80,280,4,1,Red Maple,316,16.3,8.8,,,,,,,,80_280,208.672438,108.6568999
2632,1991,80,280,6,1,Elm,970,7.9,6.4,,,,,,,,80_280,49.01669938,18.25118794
2634,1991,80,280,8,2,Elm,970,11.7,8.5,,,,,,,,80_280,107.5131546,47.82709988
2635,1991,80,280,9,1,Upland Blackgum,693,6.9,6.1,,,,,,,,80_280,37.39280656,13.15817074
2636,1991,80,280,10,1,Beech,531,21.6,12.8,,,,,,,,80_280,366.4353671,218.1730312
2637,1991,80,290,1,1,Upland Blackgum,693,8.6,8.5,,,,,,,,80_290,58.08804816,22.44486495
2638,1991,80,290,2,1,Upland Blackgum,693,8.1,7.6,,,,,,,,80_290,51.5299735,19.39523739
2639,1991,80,290,3,1,Red Maple,316,6.9,6.1,,,,,,,,80_290,37.39280656,13.15817074
2641,1991,80,290,5,1,Upland Blackgum,693,10.7,6.4,,,,,,,,80_290,89.92023573,38.36773148
2642,1991,80,290,6,1,Sweetgum,611,11.7,7.9,,,,,,,,80_290,107.5131546,47.82709988
2643,1991,80,290,7,1,Upland Blackgum,693,16.8,10.1,,,,,,,,80_290,221.6707776,117.1033509
2644,1991,80,290,8,1,Upland Blackgum,693,8.6,6.4,,,,,,,,80_290,58.08804816,22.44486495
2645,1991,80,290,9,1,American Holly,591,14.5,9.1,,,,,,,,80_290,165.1299639,81.31315025
2646,1991,80,290,10,2,Other Hardwood,999,35.3,8.8,,,,,,,,80_290,978.6767974,728.4009135
2647,1991,80,290,11,2,Other Hardwood,999,14.7,8.2,,,,,,,,80_290,169.7166891,84.11928689
2649,1991,80,290,13,1,Sweetgum,611,17,10.4,,,,,,,,80_290,226.9800692,120.5879163
2650,1991,80,290,14,1,Upland Blackgum,693,19.8,9.8,,,,,,,,80_290,307.907496,175.9175707
2653,1991,80,300,3,1,Red Maple,316,8.4,1.8,,,,,,,,80_300,55.41769441,21.19220532
2654,1991,80,300,4,1,Swamp White Oak,804,23.6,2.7,,,,,,,,80_300,437.4353611,271.528046
2655,1991,80,300,5,1,Upland Blackgum,693,25.2,6.7,,,,,,,,80_300,498.7592497,319.211218
2656,1991,80,300,6,1,Red Maple,316,11.7,,,,,,,,,80_300,107.5131546,47.82709988
2658,1991,80,300,8,1,Water Oak,827,12.5,7.9,,,,,,,,80_300,122.718463,56.31776819
2661,1991,80,300,11,1,Hickory,400,23.1,9.8,,,,,,,,80_300,419.096314,257.5453041
2664,1991,80,310,3,1,Sweetgum,611,8.1,7,plot 310 replaced with 313; 310 located on private property ,,,,,,,80_310,51.5299735,19.39523739
2667,1991,80,320,3,1,Sweetgum,611,14.5,8.8,,,,,,,,80_320,165.1299639,81.31315025
2668,1991,80,320,4,1,Live Oak,838,25.7,6.7,,,,,,,,80_320,518.7476329,335.0416261
2669,1991,80,320,5,1,Hackberry,460,9.7,8.5,,,,,,,,80_320,73.89811319,30.1402798
2670,1991,80,320,6,1,Hackberry,460,14.7,9.5,,,,,,,,80_320,169.7166891,84.11928689
2671,1991,80,320,7,1,Sweetgum,611,14.7,11.6,,,,,,,,80_320,169.7166891,84.11928689
2672,1991,80,320,8,1,Hackberry,460,13.7,9.5,,,,,,,,80_320,147.4113813,70.65347484
2674,2013,80,10,438,1,Horsesugar,999,7.9,10.9,,,,,,,,80_10,49.01669938,18.25118794
2675,2013,80,10,439,1,Horsesugar,999,8.8,10.3,,,,,,,,80_10,60.82123377,23.74186174
2676,2013,80,10,440,1,Upland Blackgum,693,10.2,11.3,,,,,,,,80_10,81.71282492,34.10349562
2678,2013,80,10,442,1,Red Maple,316,14.3,15,,,,,,,,80_10,160.6060704,78.56386272
2679,2013,80,10,443,1,Red Maple,316,12.2,13.1,,,,,,,,80_10,116.8986626,53.03565507
2680,2013,80,10,444,1,Post Oak,835,14.9,12.6,,,,,,,,80_10,174.3662463,86.98262885
2681,2013,80,10,445,1,Sweetgum ,611,21.2,17.8,,,,,,,,80_10,352.9893506,208.3177188
2682,2013,80,10,446,1,Red Maple,316,9.7,15.4,,,,,,,,80_10,73.89811319,30.1402798
2683,2013,80,10,447,1,Red Maple,316,10.1,15.4,,,,,,,,80_10,80.11846665,33.28699884
2684,2013,80,10,448,1,Red Maple,316,10.4,13.1,,,,,,,,80_10,84.94866535,35.77267037
2685,2013,80,10,449,1,Red Maple,316,12.5,12.9,,,,,,,,80_10,122.718463,56.31776819
2686,2013,80,10,450,1,Red Maple,316,11.9,17.1,,,,,,,,80_10,111.2202339,49.87158348
2687,2013,80,10,451,1,Red Maple,316,8.2,12.1,,,,,,,,80_10,52.81017251,19.98337598
2689,2013,80,10,453,1,Red Maple,316,25,17.8,,,,,,,,80_10,490.8738521,313.00375
2690,2013,80,10,454,1,Upland Blackgum,693,11.8,8.4,,,,,,,,80_10,109.3588403,48.84288633
2691,2013,80,10,455,1,Upland Blackgum,693,12.6,11.2,,,,,,,,80_10,124.6898124,57.4382728
2692,2013,80,10,456,1,Red Maple,316,12.6,11.8,,,,,,,,80_10,124.6898124,57.4382728
2693,2013,80,10,457,1,Sweetgum ,611,14.2,11.4,,,,,,,,80_10,158.3676857,77.21042501
2694,2013,80,10,458,1,Swamp Blackgum,694,7.7,7.8,,,,,,,,80_10,46.56625711,17.14967097
2696,2013,80,10,460,1,Red Maple,316,20.6,14.2,,,,,,,,80_10,333.2915646,194.0356982
2697,2013,80,10,461,1,Sweetgum ,611,8.8,8.4,,,,,,,,80_10,60.82123377,23.74186174
2698,2013,80,10,462,1,Sweetgum ,611,10.4,10.3,,,,,,,,80_10,84.94866535,35.77267037
2699,2013,80,10,463,1,Sweetgum ,611,16.9,15.5,,,,,,,,80_10,224.3175694,118.8380236
2700,2013,80,10,464,1,Upland Blackgum,693,9,6.8,,,,,,,,80_10,63.61725124,25.08369585
2701,2013,80,10,465,1,Upland Blackgum,693,17.1,12.8,,,,,,,,80_10,229.658277,122.3530682
2705,2013,80,10,469,1,Willow Oak,831,7.7,10.9,,,,,,,,80_10,46.56625711,17.14967097
2706,2013,80,10,470,1,Post Oak,835,11.2,7.2,,,,,,,,80_10,98.52034562,42.93999706
2707,2013,80,10,471,1,Laurel Oak,820,27,16.4,,,,,,,,80_10,572.5552611,378.3021214
2708,2013,80,10,472,1,Upland Blackgum,693,10,13.9,,,,,,,,80_10,78.53981634,32.48248647
2709,2013,80,10,473,1,Sweetgum ,611,17.6,14.8,,,,,,,,80_10,243.2849351,131.409072
2718,2013,80,10,482,1,Sweetgum ,611,22.7,18.7,,,,,,,,80_10,404.7078196,246.6700482
2719,2013,80,10,483,1,Red Maple,316,15.3,16.1,,,,,,,,80_10,183.8538561,92.88233441
2720,2013,80,10,484,1,Red Maple,316,9.9,14.1,,,,,,,,80_10,76.97687399,31.68990108
2721,2013,80,10,485,1,Water Oak ,827,9.2,7,,,,,,,,80_10,66.47610055,26.47086095
2722,2013,80,10,486,1,Water Oak ,827,15.4,15.1,,,,,,,,80_10,186.2650284,94.39356015
2723,2013,80,10,487,1,Willow Oak,831,25.7,16.5,,,,,,,,80_10,518.7476329,335.0416261
2726,2013,80,20,848,1,Upland Blackgum,693,9.4,8.5,,,,,,,,80_20,69.39778172,27.90384438
2727,2013,80,20,849,1,Red Maple,316,9.4,13.7,,,,,,,,80_20,69.39778172,27.90384438
2728,2013,80,20,850,1,Red Maple,316,10.4,14.7,,,,,,,,80_20,84.94866535,35.77267037
2729,2013,80,20,851,1,Willow Oak,831,38.7,20.5,,,,,,,,80_20,1176.282975,909.6946988
2730,2013,80,20,852,1,Red Maple,316,10.2,13,,,,,,,,80_20,81.71282492,34.10349562
2731,2013,80,20,853,1,Red Maple,316,11.6,12.8,,,,,,,,80_20,105.6831769,46.82417211
2732,2013,80,20,854,1,Red Maple,316,16.1,14.4,,,,,,,,80_20,203.5830579,105.383463
2733,2013,80,20,855,1,Red Maple,316,8.6,12.9,,,,,,,,80_20,58.08804816,22.44486495
2734,2013,80,20,856,1,Red Maple,316,8,9.6,,,,,,,,80_20,50.26548246,18.81786315
2735,2013,80,20,857,1,Elm,970,8.7,11.8,,,,,,,,80_20,59.44678699,23.08778979
2736,2013,80,20,858,1,Elm,970,7.9,11.6,,,,,,,,80_20,49.01669938,18.25118794
2739,2013,80,20,861,1,Red Maple,316,11.7,15.8,,,,,,,,80_20,107.5131546,47.82709988
2740,2013,80,20,862,1,Red Maple,316,26,19.9,,,,,,,,80_20,530.9291585,344.7545368
2741,2013,80,20,863,1,Sweetgum ,611,29.2,20.6,,,,,,,,80_20,669.66189,458.5308177
2742,2013,80,20,864,1,Upland Blackgum,693,9.1,6.8,,,,,,,,80_20,65.03882191,25.77158142
2743,2013,80,20,865,1,Red Maple,316,39.3,19.9,,,,,,,,80_20,1213.039609,944.0001625
2744,2013,80,20,866,1,Red Maple,316,11.8,12.3,,,,,,,,80_20,109.3588403,48.84288633
2746,2013,80,20,868,1,Sweetgum ,611,10.4,12.5,,,,,,,,80_20,84.94866535,35.77267037
2747,2013,80,20,869,1,Elm,970,16.2,12.7,,,,,,,,80_20,206.119894,107.0127117
2752,2013,80,20,874,2,Musclewood,999,32.8,5.7,,,,,,,,80_20,844.9627601,609.2607453
2755,2013,80,20,877,1,Water Oak ,827,16.7,13.1,,,,,,,,80_20,219.0396938,115.3838588
2756,2013,80,20,878,1,Red Maple,316,17.1,14.1,,,,,,,,80_20,229.658277,122.3530682
2757,2013,80,20,879,1,Hickory,400,25.8,20.5,,,,,,,,80_20,522.7924335,338.2613298
2763,2013,80,20,885,1,Swamp White Oak,804,18.7,13.4,,,,,,,,80_20,274.6458838,152.7019058
2767,2013,80,20,889,1,Red Maple,316,19.1,15.1,,,,,,,,80_20,286.521104,160.919016
2768,2013,80,20,890,1,Red Maple,316,17.9,15.8,,,,,,,,80_20,251.6494255,137.0282465
2769,2013,80,20,891,1,Swamp White Oak,804,26.9,13.3,,,,,,,,80_20,568.321965,374.8659031
2770,2013,80,20,892,1,Red Maple,316,12.1,16.1,,,,,,,,80_20,114.9901451,51.96791655
2772,2013,80,20,894,1,Red Maple,316,16.2,14.3,,,,,,,,80_20,206.119894,107.0127117
2773,2013,80,20,895,1,Red Maple,316,20.9,18.3,,,,,,,,80_20,343.0697718,201.1018899
2779,2013,80,30,206,1,Sweetgum ,611,8.6,10.1,,,,,,,,80_30,58.08804816,22.44486495
2788,2013,80,30,215,1,Ash,540,9.2,10.6,,,,,,,,80_30,66.47610055,26.47086095
2789,2013,80,30,216,1,Sweetgum ,611,7.6,8.6,,,,,,,,80_30,45.36459792,16.61469621
2790,2013,80,30,217,1,Sweetgum ,611,10.5,12.5,,,,,,,,80_30,86.59014751,36.62546147
2798,2013,80,30,225,1,Water Oak ,827,10.7,9.5,,,,,,,,80_30,89.92023573,38.36773148
2801,2013,80,30,228,1,Sweetgum ,611,7.8,9.3,,,,,,,,80_30,47.78362426,17.69514597
2802,2013,80,30,229,1,Water Oak ,827,8.1,9.6,,,,,,,,80_30,51.5299735,19.39523739
2804,2013,80,30,231,1,Sweetgum ,611,8.2,10.1,,,,,,,,80_30,52.81017251,19.98337598
2805,2013,80,30,232,1,Cherrybark Oak,813,13.2,12.1,,,,,,,,80_30,136.847776,64.44267199
2806,2013,80,30,233,1,Red Maple,316,13,13,,,,,,,,80_30,132.7322896,62.0539509
2807,2013,80,30,234,1,Red Maple,316,11.9,12.7,,,,,,,,80_30,111.2202339,49.87158348
2811,2013,80,30,238,1,Red Maple,316,9.9,10.6,,,,,,,,80_30,76.97687399,31.68990108
2818,2013,80,30,245,1,Sweetgum ,611,8.7,11,,,,,,,,80_30,59.44678699,23.08778979
2833,2013,80,40,170,1,Sweetgum ,611,28.4,16.4,,,,,,,,80_40,633.4707427,428.3264091
2834,2013,80,40,171,1,Willow Oak,831,20.8,16.5,,,,,,,,80_40,339.7946614,198.729908
2835,2013,80,40,172,2,Musclewood,999,20.9,14.5,,,,,,,,80_40,343.0697718,201.1018899
2836,2013,80,40,173,1,Upland Blackgum,693,8.4,9.8,,,,,,,,80_40,55.41769441,21.19220532
2838,2013,80,40,175,1,Red Maple,316,29,16.8,,,,,,,,80_40,660.5198554,450.8686321
2840,2013,80,40,177,1,Upland Blackgum,693,14.6,10,,,,,,,,80_40,167.4154725,82.70909008
2841,2013,80,40,178,1,Upland Blackgum,693,10.5,11.2,,,,,,,,80_40,86.59014751,36.62546147
2845,2013,80,40,182,1,Upland Blackgum,693,20,15.8,,,,,,,,80_40,314.1592654,180.3488132
2846,2013,80,40,183,1,Water Oak ,827,23.3,14.6,,,,,,,,80_40,426.3848089,263.086417
2847,2013,80,40,184,1,Upland Blackgum,693,11.5,10.7,,,,,,,,80_40,103.8689071,45.83405071
2848,2013,80,40,185,1,Red Maple,316,16.4,16,,,,,,,,80_40,211.24069,110.3160683
2852,2013,80,40,189,1,Red Maple,316,10.3,11.3,,,,,,,,80_40,83.32289115,34.93203388
2853,2013,80,40,190,1,Red Maple,316,14.5,11.3,,,,,,,,80_40,165.1299639,81.31315025
2857,2013,80,40,194,1,Willow Oak,831,29.3,16.5,,,,,,,,80_40,674.2564693,462.3897543
2860,2013,80,40,197,1,Upland Blackgum,693,10.8,7.9,,,,,,,,80_40,91.60884178,39.25732153
2861,2013,80,40,198,2,Musclewood,999,17.7,6.8,,,,,,,,80_40,246.0573906,133.2665901
2863,2013,80,40,200,1,Upland Blackgum,693,16.3,11.8,,,,,,,,80_40,208.672438,108.6568999
2867,2013,80,40,409,1,Upland Blackgum,693,20.4,12.5,,,,,,,,80_40,326.8512997,189.4076167
2869,2013,80,40,416,1,Sweetgum ,611,22.4,17,,,,,,,,80_40,394.0813825,238.6938422
2870,2013,80,40,417,1,Sweetgum ,611,10.5,12.5,,,,,,,,80_40,86.59014751,36.62546147
2871,2013,80,40,418,1,Post Oak,835,9,7.8,,,,,,,,80_40,63.61725124,25.08369585
2873,2013,80,40,420,1,Laurel Oak,820,17.2,15.8,,,,,,,,80_40,232.3521927,124.1335182
2876,2013,80,40,423,1,Upland Blackgum,693,11,8.1,,,,,,,,80_40,95.03317777,41.07368717
2877,2013,80,40,424,1,Upland Blackgum,693,13.2,11.7,,,,,,,,80_40,136.847776,64.44267199
2878,2013,80,40,425,1,Willow Oak,831,25.1,13.7,,,,,,,,80_40,494.8086969,316.0986002
2879,2013,80,40,426,1,Sweetgum ,611,8.3,10.6,,,,,,,,80_40,54.10607948,20.58234381
2880,2013,80,40,427,1,Sweetgum ,611,15.5,14,,,,,,,,80_40,188.6919088,95.91939149
2881,2013,80,40,428,1,Upland Blackgum,693,15.3,12.9,,,,,,,,80_40,183.8538561,92.88233441
2882,2013,80,40,429,1,Post Oak,835,9.1,9.5,,,,,,,,80_40,65.03882191,25.77158142
2885,2013,80,40,432,1,Red Maple,316,10,11.6,,,,,,,,80_40,78.53981634,32.48248647
2886,2013,80,40,433,1,Upland Blackgum,693,20.3,14.5,,,,,,,,80_40,323.6547292,187.1182943
2887,2013,80,40,434,1,Water Oak ,827,18.3,13.5,,,,,,,,80_40,263.0219909,144.7390827
2890,2013,80,50,2003,1,Sweetgum ,611,17.5,16.5,,,,,,,,80_50,240.5281875,129.5670438
2892,2013,80,50,2009,1,Sweetgum ,611,8.3,9.7,,,,,,,,80_50,54.10607948,20.58234381
2893,2013,80,50,2010,1,Elm,970,11.2,11,,,,,,,,80_50,98.52034562,42.93999706
2895,2013,80,50,2012,1,Cherrybark Oak,813,50.7,25.2,,,,,,,,80_50,2018.858125,1726.049785
2896,2013,80,50,2013,1,Upland Blackgum,693,9.2,12.2,,,,,,,,80_50,66.47610055,26.47086095
2897,2013,80,50,2014,1,Hickory,400,11.8,8.8,,,,,,,,80_50,109.3588403,48.84288633
2904,2013,80,50,2021,1,Sweetgum ,611,9.5,11,,,,,,,,80_50,70.88218425,28.63766857
2905,2013,80,50,2022,1,Sweetgum ,611,10.3,11,,,,,,,,80_50,83.32289115,34.93203388
2906,2013,80,50,2023,1,Sweetgum ,611,22.2,13.5,,,,,,,,80_50,387.0756308,233.4617795
2907,2013,80,50,2024,1,Sweetgum ,611,10,11.2,,,,,,,,80_50,78.53981634,32.48248647
2908,2013,80,50,2025,1,Sweetgum ,611,25,17.6,,,,,,,,80_50,490.8738521,313.00375
